Ep: 0 | --- | ep_r: -81.7 | steps: 49
Ep: 1 | --- | ep_r: -184.1 | steps: 49
Ep: 2 | --- | ep_r: -118.4 | steps: 49
Ep: 3 | --- | ep_r: -68.9 | steps: 49
Ep: 4 | --- | ep_r: -76.2 | steps: 49
Ep: 5 | --- | ep_r: 12.3 | steps: 49
Ep: 6 | --- | ep_r: -7.5 | steps: 49
Ep: 7 | --- | ep_r: -198.6 | steps: 49
Ep: 8 | --- | ep_r: -177.3 | steps: 49
Ep: 9 | --- | ep_r: -173.4 | steps: 49
Ep: 10 | --- | ep_r: -193.1 | steps: 49
Ep: 11 | --- | ep_r: -74.3 | steps: 49
Ep: 12 | --- | ep_r: 47.5 | steps: 49
Ep: 13 | --- | ep_r: -96.8 | steps: 49
Ep: 14 | --- | ep_r: -139.4 | steps: 49
Ep: 15 | --- | ep_r: -9.4 | steps: 49
Ep: 16 | --- | ep_r: -73.0 | steps: 49
Ep: 17 | --- | ep_r: -222.4 | steps: 49
Ep: 18 | --- | ep_r: -133.8 | steps: 49
Ep: 19 | --- | ep_r: -130.1 | steps: 49
Ep: 20 | --- | ep_r: -174.7 | steps: 49
Ep: 21 | --- | ep_r: -59.4 | steps: 49
Ep: 22 | --- | ep_r: -69.5 | steps: 49
Ep: 23 | --- | ep_r: -217.9 | steps: 49
Ep: 24 | --- | ep_r: 100.2 | steps: 49
Ep: 25 | --- | ep_r: -54.3 | steps: 49
Ep: 26 | --- | ep_r: -191.4 | steps: 49
Ep: 27 | --- | ep_r: -92.0 | steps: 49
Ep: 28 | --- | ep_r: -54.9 | steps: 49
Ep: 29 | --- | ep_r: -73.9 | steps: 49
Ep: 30 | --- | ep_r: -288.5 | steps: 49
Ep: 31 | --- | ep_r: -186.7 | steps: 49
Ep: 32 | --- | ep_r: -174.9 | steps: 49
Ep: 33 | --- | ep_r: -21.6 | steps: 49
Ep: 34 | --- | ep_r: 100.9 | steps: 49
Ep: 35 | --- | ep_r: -94.0 | steps: 49
Ep: 36 | --- | ep_r: -100.8 | steps: 49
Ep: 37 | --- | ep_r: 16.9 | steps: 49
Ep: 38 | --- | ep_r: -69.0 | steps: 49
Ep: 39 | --- | ep_r: -189.9 | steps: 49
Ep: 40 | --- | ep_r: -128.9 | steps: 49
Ep: 41 | --- | ep_r: -315.8 | steps: 49
Ep: 42 | --- | ep_r: -145.6 | steps: 49
Ep: 43 | --- | ep_r: -174.8 | steps: 49
Ep: 44 | --- | ep_r: -109.5 | steps: 49
Ep: 45 | --- | ep_r: -233.9 | steps: 49
Ep: 46 | --- | ep_r: -108.3 | steps: 49
Ep: 47 | --- | ep_r: -159.9 | steps: 49
Ep: 48 | --- | ep_r: -65.8 | steps: 49
Ep: 49 | --- | ep_r: -51.1 | steps: 49
Ep: 50 | --- | ep_r: -140.7 | steps: 49
Ep: 51 | --- | ep_r: -1.4 | steps: 49
Ep: 52 | --- | ep_r: -185.0 | steps: 49
Ep: 53 | --- | ep_r: -230.2 | steps: 49
Ep: 54 | --- | ep_r: -169.5 | steps: 49
Ep: 55 | --- | ep_r: -66.0 | steps: 49
Ep: 56 | --- | ep_r: -210.6 | steps: 49
Ep: 57 | --- | ep_r: -0.4 | steps: 49
Ep: 58 | --- | ep_r: -132.8 | steps: 49
Ep: 59 | --- | ep_r: -81.7 | steps: 49
Ep: 60 | --- | ep_r: -257.8 | steps: 49
Ep: 61 | --- | ep_r: 19.2 | steps: 49
Ep: 62 | --- | ep_r: -34.3 | steps: 49
Ep: 63 | --- | ep_r: -173.9 | steps: 49
Ep: 64 | --- | ep_r: -37.2 | steps: 49
Ep: 65 | --- | ep_r: -218.3 | steps: 49
Ep: 66 | --- | ep_r: -75.9 | steps: 49
Ep: 67 | --- | ep_r: -93.9 | steps: 49
Ep: 68 | --- | ep_r: -112.1 | steps: 49
Ep: 69 | --- | ep_r: -120.4 | steps: 49
Ep: 70 | --- | ep_r: -224.0 | steps: 49
Ep: 71 | --- | ep_r: -114.2 | steps: 49
Ep: 72 | --- | ep_r: -188.4 | steps: 49
Ep: 73 | --- | ep_r: -81.5 | steps: 49
Ep: 74 | --- | ep_r: -56.7 | steps: 49
Ep: 75 | --- | ep_r: -255.2 | steps: 49
Ep: 76 | --- | ep_r: -179.6 | steps: 49
Ep: 77 | --- | ep_r: -85.4 | steps: 49
Ep: 78 | --- | ep_r: -97.7 | steps: 49
Ep: 79 | --- | ep_r: -121.1 | steps: 49
Ep: 80 | --- | ep_r: -223.8 | steps: 49
Ep: 81 | --- | ep_r: -229.5 | steps: 49
Ep: 82 | --- | ep_r: -197.4 | steps: 49
Ep: 83 | --- | ep_r: -103.7 | steps: 49
Ep: 84 | --- | ep_r: -63.0 | steps: 49
Ep: 85 | --- | ep_r: 56.0 | steps: 49
Ep: 86 | --- | ep_r: -177.7 | steps: 49
Ep: 87 | --- | ep_r: -173.1 | steps: 49
Ep: 88 | --- | ep_r: -113.3 | steps: 49
Ep: 89 | --- | ep_r: -80.5 | steps: 49
Ep: 90 | --- | ep_r: -107.4 | steps: 49
Ep: 91 | --- | ep_r: -149.6 | steps: 49
Ep: 92 | --- | ep_r: -150.0 | steps: 49
Ep: 93 | --- | ep_r: -75.5 | steps: 49
Ep: 94 | --- | ep_r: -247.0 | steps: 49
Ep: 95 | --- | ep_r: -140.7 | steps: 49
Ep: 96 | --- | ep_r: -153.8 | steps: 49
Ep: 97 | --- | ep_r: -77.2 | steps: 49
Ep: 98 | --- | ep_r: -87.5 | steps: 49
Ep: 99 | --- | ep_r: -15.8 | steps: 49
Ep: 100 | --- | ep_r: -137.6 | steps: 49
Ep: 101 | --- | ep_r: -175.7 | steps: 49
Ep: 102 | --- | ep_r: -132.8 | steps: 49
Ep: 103 | --- | ep_r: -125.7 | steps: 49
Ep: 104 | --- | ep_r: -186.8 | steps: 49
Ep: 105 | --- | ep_r: -157.7 | steps: 49
Ep: 106 | --- | ep_r: -32.1 | steps: 49
Ep: 107 | --- | ep_r: -208.3 | steps: 49
Ep: 108 | --- | ep_r: -208.0 | steps: 49
Ep: 109 | --- | ep_r: -120.0 | steps: 49
Ep: 110 | --- | ep_r: -133.9 | steps: 49
Ep: 111 | --- | ep_r: -111.5 | steps: 49
Ep: 112 | --- | ep_r: -184.3 | steps: 49
Ep: 113 | --- | ep_r: -63.0 | steps: 49
Ep: 114 | --- | ep_r: -95.7 | steps: 49
Ep: 115 | --- | ep_r: 7.2 | steps: 49
Ep: 116 | --- | ep_r: 34.7 | steps: 49
Ep: 117 | --- | ep_r: -182.9 | steps: 49
Ep: 118 | --- | ep_r: 16.0 | steps: 49
Ep: 119 | --- | ep_r: -170.7 | steps: 49
Ep: 120 | --- | ep_r: -38.9 | steps: 49
Ep: 121 | --- | ep_r: -146.1 | steps: 49
Ep: 122 | --- | ep_r: -217.9 | steps: 49
Ep: 123 | --- | ep_r: -178.6 | steps: 49
Ep: 124 | --- | ep_r: -137.6 | steps: 49
Ep: 125 | --- | ep_r: -167.8 | steps: 49
Ep: 126 | --- | ep_r: -84.3 | steps: 49
Ep: 127 | --- | ep_r: 0.7 | steps: 49
Ep: 128 | --- | ep_r: -118.6 | steps: 49
Ep: 129 | --- | ep_r: 0.2 | steps: 49
Ep: 130 | --- | ep_r: -175.3 | steps: 49
Ep: 131 | --- | ep_r: -215.0 | steps: 49
Ep: 132 | --- | ep_r: -213.9 | steps: 49
Ep: 133 | --- | ep_r: -189.1 | steps: 49
Ep: 134 | --- | ep_r: -201.7 | steps: 49
Ep: 135 | --- | ep_r: 18.4 | steps: 49
Ep: 136 | --- | ep_r: -136.5 | steps: 49
Ep: 137 | --- | ep_r: -112.4 | steps: 49
Ep: 138 | --- | ep_r: -189.1 | steps: 49
Ep: 139 | --- | ep_r: -172.1 | steps: 49
Ep: 140 | --- | ep_r: -33.9 | steps: 49
Ep: 141 | --- | ep_r: -170.2 | steps: 49
Ep: 142 | --- | ep_r: -85.1 | steps: 49
Ep: 143 | --- | ep_r: -16.6 | steps: 49
Ep: 144 | --- | ep_r: -228.4 | steps: 49
Ep: 145 | --- | ep_r: -46.3 | steps: 49
Ep: 146 | --- | ep_r: -162.9 | steps: 49
Ep: 147 | --- | ep_r: -196.8 | steps: 49
Ep: 148 | --- | ep_r: -92.3 | steps: 49
Ep: 149 | --- | ep_r: -5.7 | steps: 49
Ep: 150 | --- | ep_r: 84.1 | steps: 49
Ep: 151 | --- | ep_r: -209.6 | steps: 49
Ep: 152 | --- | ep_r: -80.6 | steps: 49
Ep: 153 | --- | ep_r: -163.8 | steps: 49
Ep: 154 | --- | ep_r: -144.0 | steps: 49
Ep: 155 | --- | ep_r: -29.8 | steps: 49
Ep: 156 | --- | ep_r: -38.3 | steps: 49
Ep: 157 | --- | ep_r: -25.0 | steps: 49
Ep: 158 | --- | ep_r: -171.3 | steps: 49
Ep: 159 | --- | ep_r: 32.0 | steps: 49
Ep: 160 | --- | ep_r: -207.3 | steps: 49
Ep: 161 | --- | ep_r: 35.6 | steps: 49
Ep: 162 | --- | ep_r: -111.4 | steps: 49
Ep: 163 | --- | ep_r: -135.7 | steps: 49
Ep: 164 | --- | ep_r: -30.6 | steps: 49
Ep: 165 | --- | ep_r: -65.3 | steps: 49
Ep: 166 | --- | ep_r: -91.5 | steps: 49
Ep: 167 | --- | ep_r: -303.5 | steps: 49
Ep: 168 | --- | ep_r: -0.5 | steps: 49
Ep: 169 | --- | ep_r: -153.5 | steps: 49
Ep: 170 | --- | ep_r: -81.4 | steps: 49
Ep: 171 | --- | ep_r: -154.1 | steps: 49
Ep: 172 | --- | ep_r: -23.0 | steps: 49
Ep: 173 | --- | ep_r: 2.5 | steps: 49
Ep: 174 | --- | ep_r: -118.6 | steps: 49
Ep: 175 | --- | ep_r: -173.6 | steps: 49
Ep: 176 | --- | ep_r: -264.5 | steps: 49
Ep: 177 | --- | ep_r: -54.3 | steps: 49
Ep: 178 | --- | ep_r: -90.1 | steps: 49
Ep: 179 | --- | ep_r: -164.8 | steps: 49
Ep: 180 | --- | ep_r: -9.1 | steps: 49
Ep: 181 | --- | ep_r: -271.6 | steps: 49
Ep: 182 | --- | ep_r: -83.5 | steps: 49
Ep: 183 | --- | ep_r: -97.9 | steps: 49
Ep: 184 | --- | ep_r: -176.9 | steps: 49
Ep: 185 | --- | ep_r: -113.7 | steps: 49
Ep: 186 | --- | ep_r: -194.2 | steps: 49
Ep: 187 | --- | ep_r: -278.2 | steps: 49
Ep: 188 | --- | ep_r: -38.1 | steps: 49
Ep: 189 | --- | ep_r: -209.6 | steps: 49
Ep: 190 | --- | ep_r: -78.5 | steps: 49
Ep: 191 | --- | ep_r: -98.6 | steps: 49
Ep: 192 | --- | ep_r: -136.8 | steps: 49
Ep: 193 | --- | ep_r: -103.5 | steps: 49
Ep: 194 | --- | ep_r: -128.6 | steps: 49
Ep: 195 | --- | ep_r: -158.8 | steps: 49
Ep: 196 | --- | ep_r: -270.4 | steps: 49
Ep: 197 | --- | ep_r: -93.6 | steps: 49
Ep: 198 | --- | ep_r: -209.0 | steps: 49
Ep: 199 | --- | ep_r: -154.0 | steps: 49
Ep: 200 | --- | ep_r: -231.3 | steps: 49
Ep: 201 | --- | ep_r: -205.4 | steps: 49
Ep: 202 | --- | ep_r: 36.7 | steps: 49
Ep: 203 | --- | ep_r: -201.4 | steps: 49
Ep: 204 | --- | ep_r: -215.3 | steps: 49
Ep: 205 | --- | ep_r: -115.6 | steps: 49
Ep: 206 | --- | ep_r: -202.2 | steps: 49
Ep: 207 | --- | ep_r: -255.6 | steps: 49
Ep: 208 | --- | ep_r: -226.2 | steps: 49
Ep: 209 | --- | ep_r: -34.8 | steps: 49
Ep: 210 | --- | ep_r: -119.1 | steps: 49
Ep: 211 | --- | ep_r: -181.4 | steps: 49
Ep: 212 | --- | ep_r: -28.9 | steps: 49
Ep: 213 | --- | ep_r: -119.1 | steps: 49
Ep: 214 | --- | ep_r: -139.4 | steps: 49
Ep: 215 | --- | ep_r: -200.6 | steps: 49
Ep: 216 | --- | ep_r: -156.2 | steps: 49
Ep: 217 | --- | ep_r: -22.0 | steps: 49
Ep: 218 | --- | ep_r: -156.1 | steps: 49
Ep: 219 | --- | ep_r: -246.7 | steps: 49
Ep: 220 | --- | ep_r: -144.0 | steps: 49
Ep: 221 | --- | ep_r: -163.4 | steps: 49
Ep: 222 | --- | ep_r: -289.4 | steps: 49
Ep: 223 | --- | ep_r: -129.9 | steps: 49
Ep: 224 | --- | ep_r: -6.9 | steps: 49
Ep: 225 | --- | ep_r: -102.8 | steps: 49
Ep: 226 | --- | ep_r: -127.8 | steps: 49
Ep: 227 | --- | ep_r: -91.1 | steps: 49
Ep: 228 | --- | ep_r: -32.2 | steps: 49
Ep: 229 | --- | ep_r: -296.4 | steps: 49
Ep: 230 | --- | ep_r: -170.3 | steps: 49
Ep: 231 | --- | ep_r: -60.0 | steps: 49
Ep: 232 | --- | ep_r: -117.7 | steps: 49
Ep: 233 | --- | ep_r: -258.4 | steps: 49
Ep: 234 | --- | ep_r: -101.1 | steps: 49
Ep: 235 | --- | ep_r: 75.2 | steps: 49
Ep: 236 | --- | ep_r: -159.5 | steps: 49
Ep: 237 | --- | ep_r: -72.6 | steps: 49
Ep: 238 | --- | ep_r: -151.0 | steps: 49
Ep: 239 | --- | ep_r: -259.8 | steps: 49
Ep: 240 | --- | ep_r: 20.2 | steps: 49
Ep: 241 | --- | ep_r: -210.3 | steps: 49
Ep: 242 | --- | ep_r: -37.4 | steps: 49
Ep: 243 | --- | ep_r: -95.9 | steps: 49
Ep: 244 | --- | ep_r: -219.5 | steps: 49
Ep: 245 | --- | ep_r: -258.3 | steps: 49
Ep: 246 | --- | ep_r: -136.2 | steps: 49
Ep: 247 | --- | ep_r: -78.1 | steps: 49
Ep: 248 | --- | ep_r: -115.8 | steps: 49
Ep: 249 | --- | ep_r: -87.4 | steps: 49
Ep: 250 | --- | ep_r: -202.5 | steps: 49
Ep: 251 | --- | ep_r: -104.7 | steps: 49
Ep: 252 | --- | ep_r: 3.9 | steps: 49
Ep: 253 | --- | ep_r: -82.4 | steps: 49
Ep: 254 | --- | ep_r: 4.6 | steps: 49
Ep: 255 | --- | ep_r: -247.9 | steps: 49
Ep: 256 | --- | ep_r: -24.4 | steps: 49
Ep: 257 | --- | ep_r: -143.3 | steps: 49
Ep: 258 | --- | ep_r: -179.1 | steps: 49
Ep: 259 | --- | ep_r: -234.7 | steps: 49
Ep: 260 | --- | ep_r: -5.8 | steps: 49
Ep: 261 | --- | ep_r: -170.4 | steps: 49
Ep: 262 | --- | ep_r: 79.1 | steps: 49
Ep: 263 | --- | ep_r: -167.3 | steps: 49
Ep: 264 | --- | ep_r: -195.7 | steps: 49
Ep: 265 | --- | ep_r: -185.4 | steps: 49
Ep: 266 | --- | ep_r: -160.7 | steps: 49
Ep: 267 | --- | ep_r: -112.4 | steps: 49
Ep: 268 | --- | ep_r: -184.5 | steps: 49
Ep: 269 | --- | ep_r: -159.5 | steps: 49
Ep: 270 | --- | ep_r: -157.5 | steps: 49
Ep: 271 | --- | ep_r: -265.2 | steps: 49
Ep: 272 | --- | ep_r: -74.2 | steps: 49
Ep: 273 | --- | ep_r: -206.0 | steps: 49
Ep: 274 | --- | ep_r: -280.4 | steps: 49
Ep: 275 | --- | ep_r: -85.3 | steps: 49
Ep: 276 | --- | ep_r: -176.0 | steps: 49
Ep: 277 | --- | ep_r: -174.1 | steps: 49
Ep: 278 | --- | ep_r: -237.6 | steps: 49
Ep: 279 | --- | ep_r: -32.6 | steps: 49
Ep: 280 | --- | ep_r: -4.6 | steps: 49
Ep: 281 | --- | ep_r: -127.1 | steps: 49
Ep: 282 | --- | ep_r: -155.0 | steps: 49
Ep: 283 | --- | ep_r: -170.7 | steps: 49
Ep: 284 | --- | ep_r: 22.7 | steps: 49
Ep: 285 | --- | ep_r: -15.8 | steps: 49
Ep: 286 | --- | ep_r: -255.3 | steps: 49
Ep: 287 | --- | ep_r: -226.2 | steps: 49
Ep: 288 | --- | ep_r: 25.4 | steps: 49
